Date,Name,Year,Letterboxd URI
2024-04-20,Moneyball,2011,https://boxd.it/glS
2024-04-27,The Notebook,2004,https://boxd.it/1UNE
2024-04-27,Secret,2007,https://boxd.it/1DEq
2024-08-19,The Pursuit of Happyness,2006,https://boxd.it/28PE
2024-08-23,Anbe Sivam,2003,https://boxd.it/1sU8
2024-09-05,Drawing Closer,2024,https://boxd.it/NguI
2024-09-12,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE
2024-09-14,A Clockwork Orange,1971,https://boxd.it/2aVE
2024-10-01,Premam,2015,https://boxd.it/bod0
2024-10-03,Lighting Up the Stars,2022,https://boxd.it/zFts
2024-10-03,The Green Mile,1999,https://boxd.it/2agG
2024-10-03,Meiyazhagan,2024,https://boxd.it/GYue
2024-10-03,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C
2024-10-06,Johnny,1980,https://boxd.it/aSsi
2024-10-12,Lost Ladies,2023,https://boxd.it/I0mS
2024-10-12,Forgotten,2017,https://boxd.it/hAJE
2024-10-12,The Dictator,2012,https://boxd.it/2DEW
2024-10-12,A Silent Voice: The Movie,2016,https://boxd.it/d99c
2024-11-04,The Substance,2024,https://boxd.it/zanS
2024-12-02,Sita Ramam,2022,https://boxd.it/xO2c
2025-01-19,Padayappa,1999,https://boxd.it/JvC
2025-01-31,Hope,2013,https://boxd.it/7x5Q
2025-02-02,Mumbai Xpress,2005,https://boxd.it/2hT6
2025-02-02,Kudumbasthan,2025,https://boxd.it/QiHK
2025-02-11,Thulladha Manamum Thullum,1999,https://boxd.it/2JcO
2025-02-18,Kishkindha Kaandam,2024,https://boxd.it/CLOM
2025-02-23,Dragon,2025,https://boxd.it/Mxns
2025-03-01,Kadhala Kadhala,1998,https://boxd.it/8rS
2025-03-02,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-03-11,Vaaranam Aayiram,2008,https://boxd.it/15yo
2025-03-16,Hey Ram,2000,https://boxd.it/fGg
2025-03-24,Ayla: The Daughter of War,2017,https://boxd.it/gWyw
2025-04-14,Iruvar,1997,https://boxd.it/H2o
2025-04-16,Aarilirunthu Arubathu Varai,1979,https://boxd.it/8y0
2025-04-27,The Lunchbox,2013,https://boxd.it/5MOs
2025-05-03,The Pianist,2002,https://boxd.it/2aqc
2025-05-05,Silenced,2011,https://boxd.it/2QGG
2025-05-26,Perfect Days,2023,https://boxd.it/ATh8
2025-05-30,Set It Up,2018,https://boxd.it/dpik
2025-06-01,Fight Club,1999,https://boxd.it/2a9q
2025-06-06,Michael Madana Kama Rajan,1990,https://boxd.it/1O5c
2025-06-07,Maaveeran,2023,https://boxd.it/Bktq
2025-06-08,Thalapathi,1991,https://boxd.it/1mDg
2025-06-12,Killer Bean Forever,2008,https://boxd.it/1xtG
2025-06-18,Annamalai,1992,https://boxd.it/HHm
2025-06-27,Swades,2004,https://boxd.it/1Ly6
2025-06-28,Lemons Are Not Sour,2024,https://boxd.it/PTGM
2025-07-11,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-07-27,Enthiran,2010,https://boxd.it/4Hgo
2025-08-02,Incendies,2010,https://boxd.it/Msm
2025-08-04,Devara: Part 1,2024,https://boxd.it/uzQU
2025-08-13,Kung Fu Hustle,2004,https://boxd.it/1YBi
2025-08-17,Kushi,2000,https://boxd.it/2hFS
2025-08-22,C/o Kancharapalem,2018,https://boxd.it/jSlk
2025-08-31,Naan Kadavul,2009,https://boxd.it/2i4S
2025-08-31,F1,2025,https://boxd.it/yjVM
2025-09-05,Children of Heaven,1997,https://boxd.it/1C5k
2025-09-07,7G Rainbow Colony,2004,https://boxd.it/1xDQ
2025-09-14,Uttama Villain,2015,https://boxd.it/8j7A
