Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-06,My Comfort Films ✨,,https://boxd.it/xH3S0,

Position,Name,Year,URL,Description
1,Meiyazhagan,2024,https://boxd.it/GYue,
2,Anbe Sivam,2003,https://boxd.it/1sU8,
3,Ayla: The Daughter of War,2017,https://boxd.it/gWyw,
4,Children of Heaven,1997,https://boxd.it/1C5k,
5,Cinema Paradiso,1988,https://boxd.it/1UlA,
6,Panchatanthiram,2002,https://boxd.it/H2e,
7,Vaaranam Aayiram,2008,https://boxd.it/15yo,
8,Miracle in Cell No. 7,2013,https://boxd.it/4Xws,
9,The Pursuit of Happyness,2006,https://boxd.it/28PE,
10,Home Alone,1990,https://boxd.it/29Fg,
11,The Miracle,2015,https://boxd.it/aphq,
12,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
13,Cast Away,2000,https://boxd.it/20i8,
14,The Lunchbox,2013,https://boxd.it/5MOs,
15,Life Is Beautiful,1997,https://boxd.it/29Wm,
16,The Green Mile,1999,https://boxd.it/2agG,
17,Tourist Family,2025,https://boxd.it/RNEO,
18,Swades,2004,https://boxd.it/1Ly6,
