Date,Name,Year,Letterboxd URI,Rating
2025-05-18,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4
2025-05-21,Tourist Family,2025,https://boxd.it/RNEO,4.5
2025-05-25,Ready or Not,2019,https://boxd.it/kOf0,3.5
2025-06-10,Nayakan,1987,https://boxd.it/1meA,5
2025-06-21,Devil's Double Next Level,2025,https://boxd.it/SB3y,4
2025-07-01,Squid Game,2021,https://boxd.it/x1OG,4
2025-07-13,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2025-07-20,I Know What You Did Last Summer,2025,https://boxd.it/EY8y,3.5
2025-07-20,Thug Life,2025,https://boxd.it/DxWY,3
2025-07-24,Johnny,1980,https://boxd.it/aSsi,3
2025-07-26,DNA,2025,https://boxd.it/Sr7A,4.5
2025-07-30,Brick,2025,https://boxd.it/SITw,3
2025-07-30,Mahavatar Narsimha,2024,https://boxd.it/RdXU,5
2025-08-01,Until Dawn,2025,https://boxd.it/KOb0,2.5
2025-08-02,The Truman Show,1998,https://boxd.it/18U8,4.5
2025-08-03,Fight Club,1999,https://boxd.it/2a9q,4
2025-08-06,Salaar: Part 1 - Ceasefire,2023,https://boxd.it/sYOU,4
2025-08-08,Virumaandi,2004,https://boxd.it/8tk,4
2025-08-10,Saripodhaa Sanivaaram,2024,https://boxd.it/Jkwq,4
2025-08-11,The Intern,2015,https://boxd.it/7AOE,4
2025-08-13,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,4
2025-08-13,Ted,2012,https://boxd.it/2pgc,2
2025-08-14,Army of the Dead,2021,https://boxd.it/ic7S,3.5
2025-08-14,Sorgavaasal,2024,https://boxd.it/OvWu,4.5
2025-08-15,Coolie,2025,https://boxd.it/HDVK,2.5
2025-08-16,Jigarthanda DoubleX,2023,https://boxd.it/C4xI,4
2025-08-17,Sillu Karuppatti,2019,https://boxd.it/ow9m,4.5
2025-08-18,The Terminal,2004,https://boxd.it/2a2O,4.5
2025-08-20,Scarface,1983,https://boxd.it/2b7g,4
2025-08-20,Lucy,2014,https://boxd.it/75hu,4
2025-08-22,Perfect Days,2023,https://boxd.it/ATh8,5
2025-08-23,The Killer,2023,https://boxd.it/u6WE,4
2025-08-23,Paruthiveeran,2007,https://boxd.it/2hOU,4
2025-08-23,Maareesan,2025,https://boxd.it/CEwQ,3.5
2025-08-24,The Guilty,2021,https://boxd.it/kOPW,3
2025-08-26,Bullet Train,2022,https://boxd.it/qW26,4.5
2025-08-26,Devara: Part 1,2024,https://boxd.it/uzQU,3.5
2025-08-26,Test,2025,https://boxd.it/G5v2,1
2025-08-27,Hit Man,2023,https://boxd.it/ANB2,3.5
2025-08-29,Pride & Prejudice,2005,https://boxd.it/24u8,5
2025-08-29,Nobody,2021,https://boxd.it/mLqS,3.5
2025-08-30,World War Z,2013,https://boxd.it/2p2E,3
2025-08-31,The Roses,2025,https://boxd.it/MjnI,4
2025-09-01,Meet Joe Black,1998,https://boxd.it/2aEI,4
2025-09-01,Ad Astra,2019,https://boxd.it/ePzI,3.5
2025-09-02,Time,2006,https://boxd.it/1voO,3
2025-09-02,Liar Liar,1997,https://boxd.it/28sg,4
2025-09-03,Mandela,2021,https://boxd.it/ulX8,4.5
2025-09-03,Karate Kid: Legends,2025,https://boxd.it/CeNc,3.5
2025-09-04,Kingdom,2025,https://boxd.it/GxLi,3
2025-09-04,Knives Out,2019,https://boxd.it/jWEA,4.5
2025-09-05,Madharaasi,2025,https://boxd.it/Nu7S,3.5
2025-09-06,Lucky Baskhar,2024,https://boxd.it/L79s,4.5
2025-09-07,Mowgli: Legend of the Jungle,2018,https://boxd.it/el2E,0.5
2025-09-07,Irugapatru,2023,https://boxd.it/EEGA,4
2025-09-09,Kathal,2023,https://boxd.it/zHcI,3.5
2025-09-09,F1,2025,https://boxd.it/yjVM,5
2025-09-10,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2025-09-12,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3.5
2025-09-13,Glass Onion,2022,https://boxd.it/oCkK,4
2025-09-13,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,5
2025-09-16,Jurassic World,2015,https://boxd.it/4n0g,4
2025-09-17,Shutter Island,2010,https://boxd.it/1U82,4.5
2025-09-19,Se7en,1995,https://boxd.it/29zs,4.5
2025-09-20,Raging Bull,1980,https://boxd.it/28yI,4
2025-09-21,Gifted,2017,https://boxd.it/e5dG,4.5
2025-09-23,The Big Short,2015,https://boxd.it/ajZw,4
2025-09-24,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-09-25,300,2006,https://boxd.it/28XI,4
2025-09-26,Gone Girl,2014,https://boxd.it/6hQu,5
2025-09-27,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2025-09-30,28 Years Later,2025,https://boxd.it/FEGM,4
2025-10-01,Army of Thieves,2021,https://boxd.it/tYai,4
2025-10-01,Killing Them Softly,2012,https://boxd.it/IQ,3
2025-10-02,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4,5
2025-10-02,Interstellar,2014,https://boxd.it/4VZ8,5
2025-10-04,GoodFellas,1990,https://boxd.it/29FA,4.5
2025-10-05,The Gray Man,2022,https://boxd.it/rb7q,3
2025-10-05,Moneyball,2011,https://boxd.it/glS,4
2025-10-06,Baby Driver,2017,https://boxd.it/bhF2,4.5
2025-10-07,The Holdovers,2023,https://boxd.it/vHza,4
2025-10-08,Padakkalam,2025,https://boxd.it/LFSQ,4
2025-10-09,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2025-10-09,Begin Again,2013,https://boxd.it/5Ybs,5
2025-10-10,Bruce Almighty,2003,https://boxd.it/2aCC,3.5
2025-10-10,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2025-10-12,Sinners,2025,https://boxd.it/KQMM,5
2025-10-13,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,5
2025-10-14,Meiyazhagan,2024,https://boxd.it/GYue,5
2025-10-17,Odum Kuthira Chadum Kuthira,2025,https://boxd.it/zGBC,3
2025-10-18,Weapons,2025,https://boxd.it/EMTM,4.5
2025-10-19,Bison Kaalamaadan,2025,https://boxd.it/LUUW,4.5
2025-10-20,The Game,1997,https://boxd.it/26vC,5
2025-10-21,Memento,2000,https://boxd.it/2bcK,4
2025-10-22,Superman,2025,https://boxd.it/E9IU,4
2025-10-22,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2025-10-25,Materialists,2025,https://boxd.it/GZlW,2.5
2025-10-26,Jurassic World Rebirth,2025,https://boxd.it/KUeE,3
2025-10-27,Minnal Murali,2021,https://boxd.it/osLw,3.5
2025-10-29,Vada Chennai,2018,https://boxd.it/esfK,5
2025-11-02,Idli Kadai,2025,https://boxd.it/Oxi2,4
2025-11-03,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2025-11-05,Lokah Chapter 1: Chandra,2025,https://boxd.it/NelO,4
2025-11-06,10 Things I Hate About You,1999,https://boxd.it/23AO,4.5
2025-11-06,Thee,1981,https://boxd.it/aSsC,3.5
2025-11-09,Sarpatta Parambarai,2021,https://boxd.it/tX36,4.5
2025-11-14,Now You See Me,2013,https://boxd.it/2Bsu,4
2025-11-14,Now You See Me 2,2016,https://boxd.it/99fw,3.5
2025-11-15,Now You See Me: Now You Don't,2025,https://boxd.it/f3i2,4
2025-11-16,Dude,2025,https://boxd.it/OqFe,2
2025-11-18,House Mates,2025,https://boxd.it/T2So,3
2025-11-25,Whiplash,2014,https://boxd.it/7bQA,5
2025-11-27,Swades,2004,https://boxd.it/1Ly6,4.5
2025-11-30,The Smashing Machine,2025,https://boxd.it/syUC,2.5
2025-12-01,Alien³,1992,https://boxd.it/20zS,3
2025-12-04,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2025-12-06,Zodiac,2007,https://boxd.it/27MO,4
2025-12-16,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-12-17,Dhurandhar,2025,https://boxd.it/NhCI,4.5
2025-12-24,Aadhavan,2009,https://boxd.it/qiu,4
2025-12-28,Little Hearts,2025,https://boxd.it/TjjA,4.5
2025-12-30,It,2017,https://boxd.it/bC8e,3.5
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,4
2026-01-09,Kantara,2022,https://boxd.it/wqK8,4
2026-01-10,Kantara - A Legend: Chapter 1,2025,https://boxd.it/EZaq,5
2026-01-11,The Lunchbox,2013,https://boxd.it/5MOs,4
2026-01-12,Parasakthi,2026,https://boxd.it/AsJk,4
2026-01-12,Caught Stealing,2025,https://boxd.it/LnyS,3.5
2026-01-14,Master,2021,https://boxd.it/nbII,5
2026-01-18,Thalaivar Thambi Thalaimaiyil,2026,https://boxd.it/wMLs,4
2026-01-19,Snatch,2000,https://boxd.it/2b7U,3.5
2026-01-20,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,4
2026-01-27,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4.5
2026-01-29,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,4
2026-01-30,Meesaya Murukku,2017,https://boxd.it/f15K,5
2026-01-31,83,2021,https://boxd.it/mbBg,5
2026-02-01,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3.5
2026-02-01,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4
2026-02-03,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2026-02-05,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2026-02-07,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4
2026-02-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,5
2026-02-10,Kaththi,2014,https://boxd.it/7Q9W,5
2026-02-14,Tere Ishk Mein,2025,https://boxd.it/HdG0,2.5
2026-02-20,Superbad,2007,https://boxd.it/20hO,4
2026-02-22,Kalakalappu,2012,https://boxd.it/4lXq,5
2026-02-23,Lucky the Superstar,2026,https://boxd.it/OyCM,3
2026-02-26,Incendies,2010,https://boxd.it/Msm,5
2026-03-01,Atonement,2007,https://boxd.it/24ui,3.5
2026-03-10,The Dark Knight,2008,https://boxd.it/2b0k,5
2026-03-11,Kadaisi Vivasayi,2021,https://boxd.it/mGrm,5
2026-03-15,The Proposal,2009,https://boxd.it/1HiS,3
2026-03-16,Garuda Gamana Vrishabha Vahana,2021,https://boxd.it/pj7u,4
2026-03-20,With Love,2026,https://boxd.it/W6Rq,3.5
2026-03-20,Dhurandhar The Revenge,2026,https://boxd.it/Z0Uu,4.5
2026-03-21,Rhythm,2000,https://boxd.it/2h72,3.5
2026-03-23,Perusu,2025,https://boxd.it/Ss5A,2.5
2026-03-27,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5
2026-03-30,Django Unchained,2012,https://boxd.it/2cCk,5
2026-04-01,Homebound,2025,https://boxd.it/KDDs,4.5
2026-04-02,Kadhalum Kadanthu Pogum,2016,https://boxd.it/dvpw,4
2026-04-05,The Lost Bus,2025,https://boxd.it/KYKE,4.5
2026-04-05,Bridge to Terabithia,2007,https://boxd.it/28YG,3.5
2026-04-07,Come and See,1985,https://boxd.it/1w9q,4.5
2026-04-08,Novocaine,2025,https://boxd.it/JmdA,3.5
2026-04-09,The Hunt,2012,https://boxd.it/3wEC,4
2026-04-10,Little Women,2019,https://boxd.it/aSVk,4
2026-04-11,Jana Nayagan,,https://boxd.it/KY7M,2.5
2026-04-12,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2026-04-14,The Shining,1980,https://boxd.it/29Nu,4
2026-04-14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
2026-04-15,The Backrooms (Found Footage),2022,https://boxd.it/B0mE,4
2026-04-17,Official Secrets,2019,https://boxd.it/dLxm,4
2026-04-19,Trap,2024,https://boxd.it/D4nK,3
2026-04-22,Seven Years in Tibet,1997,https://boxd.it/29aC,4
2026-04-23,Youth,2026,https://boxd.it/Xsrc,3.5
2026-04-26,There Will Be Blood,2007,https://boxd.it/20Z2,4
2026-04-26,Michael,2026,https://boxd.it/zi5M,4
2026-04-30,Ayan,2009,https://boxd.it/1E94,5
2026-05-01,Dune: Part Two,2024,https://boxd.it/pUfA,5
2026-05-04,28 Days Later,2002,https://boxd.it/2aXU,4
2026-05-04,Enthiran,2010,https://boxd.it/4Hgo,5
2026-05-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,3
2026-05-07,The Drama,2026,https://boxd.it/OA2w,3
2026-05-10,Love Insurance Kompany,2026,https://boxd.it/JTYO,1.5
2026-05-12,The Usual Suspects,1995,https://boxd.it/29XE,5
2026-05-14,Ready or Not 2: Here I Come,2026,https://boxd.it/MfY6,4.5
2026-05-15,Vaazha,2024,https://boxd.it/J7TG,3
2026-05-15,The Great Gatsby,2013,https://boxd.it/JY,3.5
2026-05-18,Karuppu,2026,https://boxd.it/QE3M,4.5
2026-05-20,Oblivion,2013,https://boxd.it/2Bzq,3.5
2026-05-21,The Long Walk,2025,https://boxd.it/mic8,4.5
2026-05-22,Thalapathi,1991,https://boxd.it/1mDg,5
2026-05-24,Past Lives,2023,https://boxd.it/oNB8,4
2026-05-24,Marty Supreme,2025,https://boxd.it/Off0,3.5
2026-05-27,Vasool Raja MBBS,2004,https://boxd.it/HGS,5
2026-05-28,Oldboy,2003,https://boxd.it/29R2,5
2026-05-29,Fun with Dick and Jane,2005,https://boxd.it/20PG,3.5
2026-05-31,Kara,2026,https://boxd.it/T1NW,3.5
2026-06-01,Wonder,2017,https://boxd.it/ekeY,5
2026-06-02,Reservoir Dogs,1992,https://boxd.it/2agc,3
