Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-09,Comfort zone 🫂❤️,,https://boxd.it/Pp0Ay,"Wherever I go , whatever I experience will always stays in my mind. If it is good, it will stay or else I would come to my comfort zone... 😇"

Position,Name,Year,URL,Description
1,Meiyazhagan,2024,https://boxd.it/GYue,
2,Tourist Family,2025,https://boxd.it/RNEO,
3,Sillu Karuppatti,2019,https://boxd.it/ow9m,
4,Begin Again,2013,https://boxd.it/5Ybs,
5,Perfect Days,2023,https://boxd.it/ATh8,
6,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4,
7,The Intern,2015,https://boxd.it/7AOE,
8,Gifted,2017,https://boxd.it/e5dG,
9,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,
10,Pride & Prejudice,2005,https://boxd.it/24u8,
11,Meet Joe Black,1998,https://boxd.it/2aEI,
12,Irugapatru,2023,https://boxd.it/EEGA,
13,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
14,Idli Kadai,2025,https://boxd.it/Oxi2,
15,Swades,2004,https://boxd.it/1Ly6,
16,Little Hearts,2025,https://boxd.it/TjjA,
17,The Lunchbox,2013,https://boxd.it/5MOs,
18,Kadaisi Vivasayi,2021,https://boxd.it/mGrm,
19,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
20,Cinema Paradiso,1988,https://boxd.it/1UlA,
21,Thalapathi,1991,https://boxd.it/1mDg,
22,Vasool Raja MBBS,2004,https://boxd.it/HGS,
23,Wonder,2017,https://boxd.it/ekeY,
