Date,Name,Year,Letterboxd URI
2025-08-22,C/o Kancharapalem,2018,https://boxd.it/jSlk
2025-08-23,Joker: Folie à Deux,2024,https://boxd.it/xBoE
2025-08-26,Mickey 17,2025,https://boxd.it/q1Dk
2025-08-27,Pani,2024,https://boxd.it/JkmK
2025-08-27,Carry-On,2024,https://boxd.it/C0B2
2025-08-28,3BHK,2025,https://boxd.it/Nn64
2025-08-30,Untitled Ravi Mohan Film,,https://boxd.it/VxMg
2025-08-30,Rocky,1976,https://boxd.it/28Uk
2025-09-04,Kalki 2898-AD,2024,https://boxd.it/uaUM
2025-09-06,Inception,2010,https://boxd.it/1skk
2025-09-09,Babylon,2022,https://boxd.it/mM02
2025-09-10,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-09-10,Fury,2014,https://boxd.it/6JwC
2025-09-12,Extraction,2020,https://boxd.it/jUjA
2025-09-12,Casino,1995,https://boxd.it/2ads
2025-09-22,American Psycho,2000,https://boxd.it/28Vs
2025-10-01,The Godfather,1972,https://boxd.it/2aNK
2025-10-01,The Godfather Part II,1974,https://boxd.it/2aNq
2025-10-01,The Godfather Part III,1990,https://boxd.it/2aN6
2025-10-02,The Irishman,2019,https://boxd.it/dYOq
2025-11-08,Mahanadhi,1994,https://boxd.it/8re
2025-12-11,Schindler's List,1993,https://boxd.it/2aq2
2025-12-11,The Hateful Eight,2015,https://boxd.it/8gw8
2026-03-28,Project Hail Mary,2026,https://boxd.it/pEeQ
2026-04-15,Killers of the Flower Moon,2023,https://boxd.it/gHp0
