Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-18,David Fincher 🛐,,https://boxd.it/QbVOe,

Position,Name,Year,URL,Description
1,Fight Club,1999,https://boxd.it/2a9q,
2,Gone Girl,2014,https://boxd.it/6hQu,
3,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
4,The Game,1997,https://boxd.it/26vC,
5,The Social Network,2010,https://boxd.it/17ue,
6,Se7en,1995,https://boxd.it/29zs,
7,The Killer,2023,https://boxd.it/u6WE,
8,Zodiac,2007,https://boxd.it/27MO,
9,Panic Room,2002,https://boxd.it/2490,
