Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-11,For Akshaiya,,https://boxd.it/KF0Rc,

Position,Name,Year,URL,Description
1,Perfect Days,2023,https://boxd.it/ATh8,
2,Cinema Paradiso,1988,https://boxd.it/1UlA,
3,Swades,2004,https://boxd.it/1Ly6,
4,Johnny,1980,https://boxd.it/aSsi,
5,The Song of Sparrows,2008,https://boxd.it/uJY,
6,Children of Heaven,1997,https://boxd.it/1C5k,
7,Set It Up,2018,https://boxd.it/dpik,
8,Ayla: The Daughter of War,2017,https://boxd.it/gWyw,
9,The Dictator,2012,https://boxd.it/2DEW,
10,C/o Kancharapalem,2018,https://boxd.it/jSlk,
11,Kuruthipunal,1995,https://boxd.it/8ry,
12,Groundhog Day,1993,https://boxd.it/2b3e,
13,The Big Short,2015,https://boxd.it/ajZw,
14,Kadhal Konden,2003,https://boxd.it/2hZo,
15,"My Tomorrow, Your Yesterday",2016,https://boxd.it/fajw,
16,Aparichit,2020,https://boxd.it/Wbzm,
17,Anjathe,2008,https://boxd.it/vve,
