Date,Name,Year,Letterboxd URI
2025-08-16,Ante... Sundaraniki!,2022,https://boxd.it/vu0w
2025-08-16,The Truman Show,1998,https://boxd.it/18U8
2025-08-16,Mahavatar Narsimha,2024,https://boxd.it/RdXU
2025-08-16,Nayakan,1987,https://boxd.it/1meA
2025-08-17,Sillu Karuppatti,2019,https://boxd.it/ow9m
2025-08-18,The Terminal,2004,https://boxd.it/2a2O
2025-08-22,Perfect Days,2023,https://boxd.it/ATh8
2025-09-02,Pride & Prejudice,2005,https://boxd.it/24u8
2025-09-09,F1,2025,https://boxd.it/yjVM
2025-09-16,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ
2025-10-02,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2025-10-06,Baby Driver,2017,https://boxd.it/bhF2
2025-10-06,Gifted,2017,https://boxd.it/e5dG
2025-10-09,Begin Again,2013,https://boxd.it/5Ybs
2025-10-10,Top Gun: Maverick,2022,https://boxd.it/cjr4
2025-10-13,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2025-10-14,Meiyazhagan,2024,https://boxd.it/GYue
2025-10-18,Weapons,2025,https://boxd.it/EMTM
2025-10-19,Bison Kaalamaadan,2025,https://boxd.it/LUUW
2025-10-20,The Game,1997,https://boxd.it/26vC
2025-10-22,Gone Girl,2014,https://boxd.it/6hQu
2025-10-22,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-10-29,Vada Chennai,2018,https://boxd.it/esfK
2025-11-02,Idli Kadai,2025,https://boxd.it/Oxi2
2025-11-06,10 Things I Hate About You,1999,https://boxd.it/23AO
2025-11-09,Sarpatta Parambarai,2021,https://boxd.it/tX36
2025-11-25,Whiplash,2014,https://boxd.it/7bQA
2025-11-27,Swades,2004,https://boxd.it/1Ly6
2025-12-04,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-12-06,Zodiac,2007,https://boxd.it/27MO
2025-12-16,Taxi Driver,1976,https://boxd.it/2b8y
2025-12-17,Dhurandhar,2025,https://boxd.it/NhCI
2025-12-24,Aadhavan,2009,https://boxd.it/qiu
2025-12-28,Little Hearts,2025,https://boxd.it/TjjA
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW
2026-01-10,Kantara - A Legend: Chapter 1,2025,https://boxd.it/EZaq
2026-01-12,Parasakthi,2026,https://boxd.it/AsJk
2026-01-14,Master,2021,https://boxd.it/nbII
2026-01-20,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2026-01-27,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
2026-01-29,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2026-01-30,Meesaya Murukku,2017,https://boxd.it/f15K
2026-01-31,83,2021,https://boxd.it/mbBg
2026-02-01,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo
2026-02-07,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2026-02-10,Kaththi,2014,https://boxd.it/7Q9W
2026-02-22,Kalakalappu,2012,https://boxd.it/4lXq
2026-02-26,Incendies,2010,https://boxd.it/Msm
2026-03-10,The Dark Knight,2008,https://boxd.it/2b0k
2026-03-11,Kadaisi Vivasayi,2021,https://boxd.it/mGrm
2026-03-16,Garuda Gamana Vrishabha Vahana,2021,https://boxd.it/pj7u
2026-03-20,Dhurandhar The Revenge,2026,https://boxd.it/Z0Uu
2026-03-27,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2026-03-30,Django Unchained,2012,https://boxd.it/2cCk
2026-04-01,Homebound,2025,https://boxd.it/KDDs
2026-04-02,Kadhalum Kadanthu Pogum,2016,https://boxd.it/dvpw
2026-04-05,The Lost Bus,2025,https://boxd.it/KYKE
2026-04-07,Come and See,1985,https://boxd.it/1w9q
2026-04-08,Novocaine,2025,https://boxd.it/JmdA
2026-04-10,Little Women,2019,https://boxd.it/aSVk
2026-04-12,Cinema Paradiso,1988,https://boxd.it/1UlA
2026-04-14,The Shining,1980,https://boxd.it/29Nu
2026-04-15,The Backrooms (Found Footage),2022,https://boxd.it/B0mE
2026-04-17,Official Secrets,2019,https://boxd.it/dLxm
2026-04-26,Michael,2026,https://boxd.it/zi5M
2026-04-30,Ayan,2009,https://boxd.it/1E94
2026-05-01,Dune: Part Two,2024,https://boxd.it/pUfA
2026-05-04,Enthiran,2010,https://boxd.it/4Hgo
2026-05-14,Ready or Not 2: Here I Come,2026,https://boxd.it/MfY6
2026-05-15,The Great Gatsby,2013,https://boxd.it/JY
2026-05-18,Karuppu,2026,https://boxd.it/QE3M
2026-05-20,Oblivion,2013,https://boxd.it/2Bzq
2026-05-22,Thalapathi,1991,https://boxd.it/1mDg
2026-05-24,Past Lives,2023,https://boxd.it/oNB8
2026-05-27,Vasool Raja MBBS,2004,https://boxd.it/HGS
2026-06-01,Wonder,2017,https://boxd.it/ekeY
2026-06-03,Obsession,2025,https://boxd.it/PNqo
2026-06-05,Catch Me If You Can,2002,https://boxd.it/29VS
2026-06-06,Me Before You,2016,https://boxd.it/9n98
2026-06-07,Parandhu Po,2025,https://boxd.it/S6v2
2026-06-07,Primal Fear,1996,https://boxd.it/28ws
2026-06-11,La La Land,2016,https://boxd.it/a5fa
2026-06-13,Rifle Club,2024,https://boxd.it/IFao
2026-06-16,Aaranya Kaandam,2011,https://boxd.it/3Xc6
2026-06-19,Ocean's Twelve,2004,https://boxd.it/2aZ2
2026-06-20,Maaveeran,2023,https://boxd.it/Bktq
2026-06-26,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a
