Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-10,The Big Screen 2026,,https://boxd.it/T7t6W,Let's see how many films I'll watch in 2026. Definitely the best films of 2026 will be ranked at end of the year... 👌

Position,Name,Year,URL,Description
1,Parasakthi,2026,https://boxd.it/AsJk,
2,Thalaivar Thambi Thalaimaiyil,2026,https://boxd.it/wMLs,
3,Dhurandhar The Revenge,2026,https://boxd.it/Z0Uu,
4,Michael,2026,https://boxd.it/zi5M,
5,Karuppu,2026,https://boxd.it/QE3M,
6,Obsession,2025,https://boxd.it/PNqo,
7,Backrooms,2026,https://boxd.it/EY6W,
