Date,Name,Year,Letterboxd URI,Rating
2024-04-22,Moneyball,2011,https://boxd.it/glS,4.5
2024-04-27,The Notebook,2004,https://boxd.it/1UNE,4.5
2024-05-02,Merry Christmas,2024,https://boxd.it/xCn8,3
2024-06-28,Damsel,2024,https://boxd.it/sFY2,3
2024-07-18,Dil Chahta Hai,2001,https://boxd.it/1Nsk,4
2024-07-26,Lost Ladies,2023,https://boxd.it/I0mS,4
2024-07-29,Anonymously Yours,2021,https://boxd.it/xYV2,2.5
2024-08-05,Kal Ho Naa Ho,2003,https://boxd.it/24By,3.5
2024-08-06,Aavesham,2024,https://boxd.it/F2fe,4
2024-08-15,The Green Mile,1999,https://boxd.it/2agG,5
2024-08-19,Where the Tracks End,2023,https://boxd.it/GpUG,4
2024-08-23,Anbe Sivam,2003,https://boxd.it/1sU8,5
2024-09-05,Drawing Closer,2024,https://boxd.it/NguI,5
2024-09-11,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,4
2024-09-17,Thangalaan,2024,https://boxd.it/yiKI,2.5
2024-10-01,Saripodhaa Sanivaaram,2024,https://boxd.it/Jkwq,3.5
2024-10-01,Premam,2015,https://boxd.it/bod0,4.5
2024-10-07,Even If This Love Disappears from the World Tonight,2022,https://boxd.it/AWgs,4
2024-10-12,21,2008,https://boxd.it/20BO,3
2024-10-13,Vaazhai,2024,https://boxd.it/DNee,4
2024-10-17,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2024-10-21,The Intern,2015,https://boxd.it/7AOE,4
2024-10-28,Meiyazhagan,2024,https://boxd.it/GYue,5
2024-11-01,Lubber Pandhu,2024,https://boxd.it/FvlK,4
2024-11-03,The Grudge,2019,https://boxd.it/gE0Q,2
2024-11-03,Mujhse Dosti Karoge!,2002,https://boxd.it/1uci,1
2024-11-04,The Substance,2024,https://boxd.it/zanS,5
2024-11-07,Black,2024,https://boxd.it/POYG,3
2024-11-11,Jerry & Marge Go Large,2022,https://boxd.it/vPf8,3
2024-11-17,Amaran,2024,https://boxd.it/yWSs,4
2024-11-26,Brother,2024,https://boxd.it/C7ZU,1
2024-11-30,Lucky Baskhar,2024,https://boxd.it/L79s,4
2024-11-30,13 Going on 30,2004,https://boxd.it/1X6e,3.5
2024-12-04,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2024-12-20,Viduthalai: Part I,2023,https://boxd.it/tzzM,4.5
2024-12-23,Pogumidam Vegu Thooramillai,2024,https://boxd.it/OLE2,4
2024-12-24,50/50,2011,https://boxd.it/10Tw,4
2024-12-25,Iyarkai,2003,https://boxd.it/8FM6,3.5
2025-01-06,Viduthalai: Part II,2024,https://boxd.it/CAee,3.5
2025-01-10,Manspread,2024,https://boxd.it/S7cU,3.5
2025-01-11,Moondram Pirai,1982,https://boxd.it/8lq,4
2025-01-12,Kabhi Khushi Kabhie Gham,2001,https://boxd.it/1Vtg,3.5
2025-01-13,Raayan,2024,https://boxd.it/GYru,2.5
2025-01-13,Hum Aapke Hain Koun..!,1994,https://boxd.it/NiC,2
2025-01-14,Tune in for Love,2019,https://boxd.it/kVUO,3
2025-01-14,Rogan Josh,2018,https://boxd.it/lk5Q,4
2025-01-14,Two,1965,https://boxd.it/5MnG,4
2025-01-16,Arunachalam,1997,https://boxd.it/8IE,3
2025-01-18,The Song of Sparrows,2008,https://boxd.it/uJY,4.5
2025-01-18,Indian 2: Zero Tolerance,2024,https://boxd.it/kbw2,0.5
2025-01-19,Padayappa,1999,https://boxd.it/JvC,5
2025-01-23,The Dictator,2012,https://boxd.it/2DEW,4
2025-01-23,Hitch,2005,https://boxd.it/205o,3
2025-01-23,Sanju,2018,https://boxd.it/hTZm,3.5
2025-01-23,Lighting Up the Stars,2022,https://boxd.it/zFts,4
2025-01-23,Flamin' Hot,2023,https://boxd.it/nbEc,2.5
2025-01-24,MAX,2024,https://boxd.it/HnxW,3
2025-01-26,Madha Gaja Raja,2025,https://boxd.it/8EuA,2.5
2025-01-27,Animal,2023,https://boxd.it/toAu,3.5
2025-01-28,Monte Carlo,2011,https://boxd.it/hqk,3
2025-01-31,Hope,2013,https://boxd.it/7x5Q,5
2025-02-02,Mumbai Xpress,2005,https://boxd.it/2hT6,4
2025-02-02,Kudumbasthan,2025,https://boxd.it/QiHK,4
2025-02-07,Malargal Kaeten,2024,https://boxd.it/SC7Q,3.5
2025-02-14,Kadhalikka Neramillai,2025,https://boxd.it/JZWu,2.5
2025-02-19,Please Hold,2020,https://boxd.it/rPGU,3.5
2025-02-21,Love Reset,2023,https://boxd.it/DPma,3
2025-02-28,Kishkindha Kaandam,2024,https://boxd.it/CLOM,4
2025-03-01,Kill,2023,https://boxd.it/HTqS,3.5
2025-03-01,Kadhala Kadhala,1998,https://boxd.it/8rS,4
2025-03-01,Vettaiyan,2024,https://boxd.it/FnTu,3
2025-03-02,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2025-03-11,Vaaranam Aayiram,2008,https://boxd.it/15yo,5
2025-03-12,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,2.5
2025-03-15,Rough Cut,2008,https://boxd.it/1Ipq,4
2025-03-16,Hey Ram,2000,https://boxd.it/fGg,5
2025-03-18,Memento,2000,https://boxd.it/2bcK,4.5
2025-03-25,Fanaa,2006,https://boxd.it/207O,3
2025-03-30,Mr. Housekeeping,2025,https://boxd.it/SEeO,2.5
2025-03-30,Home,2018,https://boxd.it/loLm,3
2025-03-30,Ponman,2025,https://boxd.it/LiKa,3
2025-04-01,Requiem for a Dream,2000,https://boxd.it/29VI,5
2025-04-11,Pushpa 2 - The Rule,2024,https://boxd.it/wooY,1.5
2025-04-13,Rose Island,2020,https://boxd.it/nBlq,3
2025-04-13,Thillu Mullu,1981,https://boxd.it/8jk,4
2025-04-14,Iruvar,1997,https://boxd.it/H2o,5
2025-04-14,Alappuzha Gymkhana,2025,https://boxd.it/LmgI,3.5
2025-04-18,The Internship,2013,https://boxd.it/3SWS,2.5
2025-04-19,In Time,2011,https://boxd.it/FPS,3
2025-04-19,Good Bad Ugly,2025,https://boxd.it/M11k,3
2025-04-19,Veera Dheera Sooran: Part 2,2025,https://boxd.it/JsRc,3.5
2025-04-21,Kaakha Kaakha,2003,https://boxd.it/aQvk,4
2025-04-23,Kanguva,2024,https://boxd.it/n2Wc,1.5
2025-04-27,Jodhaa Akbar,2008,https://boxd.it/1OOw,3.5
2025-04-27,Hustle,2022,https://boxd.it/qpig,3.5
2025-04-28,Manmadhan Ambu,2010,https://boxd.it/ysM,3
2025-05-01,Maamannan,2023,https://boxd.it/yaLS,2.5
2025-05-03,The Pianist,2002,https://boxd.it/2aqc,5
2025-05-03,Server Sundaram,1964,https://boxd.it/8vEm,4.5
2025-05-04,King Kong,2005,https://boxd.it/2aLa,3.5
2025-05-05,Game Changer,2025,https://boxd.it/uzQg,2
2025-05-05,Silenced,2011,https://boxd.it/2QGG,5
2025-05-06,No Hard Feelings,2023,https://boxd.it/xouu,2
2025-05-06,Subservience,2024,https://boxd.it/EgxO,1
2025-05-06,It,2017,https://boxd.it/bC8e,3
2025-05-06,It Chapter Two,2019,https://boxd.it/h10u,2
2025-05-07,Champions,2018,https://boxd.it/gjGG,4
2025-05-08,Ayya,2005,https://boxd.it/fGq,3
2025-05-09,Adolescence,2025,https://boxd.it/TFGw,3.5
2025-05-13,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,3.5
2025-05-14,Thambikku Entha Ooru,1984,https://boxd.it/8DO,3
2025-05-15,Nammavar,1994,https://boxd.it/8r4,4
2025-05-16,Punnagai Mannan,1986,https://boxd.it/8nw,3
2025-05-17,Tourist Family,2025,https://boxd.it/RNEO,4.5
2025-05-19,Mission: Impossible,1996,https://boxd.it/29d2,3.5
2025-05-20,Nilavuku En Mel Ennadi Kobam,2025,https://boxd.it/Ko9C,1.5
2025-05-20,Mission: Impossible II,2000,https://boxd.it/29cS,3
2025-05-23,Photograph,2019,https://boxd.it/iE22,3.5
2025-05-25,Mission: Impossible III,2006,https://boxd.it/29cI,3.5
2025-05-26,Perfect Days,2023,https://boxd.it/ATh8,5
2025-05-26,The Life List,2025,https://boxd.it/LN3c,3
2025-05-27,One Day,2016,https://boxd.it/eRvy,3.5
2025-05-27,Bloody Beggar,2024,https://boxd.it/O1a6,2.5
2025-05-28,Pride & Prejudice,2005,https://boxd.it/24u8,2.5
2025-05-29,Hereditary,2018,https://boxd.it/hNVe,3
2025-05-29,Living,2022,https://boxd.it/syDQ,3
2025-05-30,Set It Up,2018,https://boxd.it/dpik,4.5
2025-05-30,Retro,2025,https://boxd.it/MfqS,2.5
